Match,Competition,Date,Position,Minutes played,Total actions / successful,,Goals,Assists,Shots / on target,,xG,Passes / accurate,,Long passes / accurate,,Crosses / accurate,,Dribbles / successful,,Duels / won,,Aerial duels / won,,Interceptions,Losses / own half,,Recoveries / opp. half,,Yellow card,Red card,Defensive duels / won,,Loose ball duels / won,,Sliding tackles / successful,,Clearances,Fouls,Yellow cards,Red cards,Shot assists,Offensive duels / won,,Touches in penalty area,Offsides,Progressive runs,Fouls suffered,Through passes / accurate,,xA,Second assists,Passes to final third / accurate,,Passes to penalty area / accurate,,Received passes,Forward passes / accurate,,Back passes / accurate,,Conceded goals,xCG,Shots against,Saves / with reflexes,,Exits,Passes to GK / accurate,,Goal kicks,Short goal kicks,Long goal kicks
Xavier Musketeers - UCONN Huskies 7:0,United States. NCAA D1 Big East (W),2025-11-06,LCMF,19,13,7,0,0,0,0,0,8,5,3,0,0,0,0,0,4,2,1,1,1,2,0,4,2,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,1,1,4,2,1,4,4,0,0,0,0,0,0,0,0,0,0,0
UCONN Huskies - Villanova Wildcats 2:0,United States. NCAA D1 Big East (W),2025-10-18,LDMF,21,12,5,0,0,0,0,0,8,3,2,0,0,0,0,0,2,1,2,1,4,6,3,5,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.08,0,2,1,0,0,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
UCONN Huskies - Marquette Golden Eagles 2:2,United States. NCAA D1 Big East (W),2025-10-12,0,8,7,4,0,0,0,0,0,3,2,0,0,0,0,0,0,4,2,0,0,1,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Providence Friars - UCONN Huskies 0:1,United States. NCAA D1 Big East (W),2025-10-02,LDMF,35,24,10,0,0,0,0,0,10,7,3,1,0,0,1,0,9,3,0,0,1,6,3,3,2,0,0,1,0,3,2,0,0,1,1,0,0,0,5,1,0,0,0,0,1,0,0,0,3,1,0,0,6,3,1,2,2,0,0,0,0,0,0,0,0,0,0,0
Georgetown Hoyas - UCONN Huskies 2:0,United States. NCAA D1 Big East (W),2025-09-27,LDMF,13,11,5,0,0,0,0,0,7,4,2,1,0,0,0,0,2,1,0,0,1,3,3,2,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,2,2,0,0,2,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0
UCONN Huskies - Xavier Musketeers 1:1,United States. NCAA D1 Big East (W),2025-09-25,LCMF3,25,11,5,0,0,0,0,0,4,2,1,0,0,0,0,0,4,2,0,0,2,2,2,4,1,0,0,2,1,2,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0.1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
UCONN Huskies - St John's Red Storm 2:0,United States. NCAA D1 Big East (W),2025-09-21,LDMF,57,52,25,0,0,1,0,0.02,28,18,3,0,1,1,1,0,16,7,1,1,8,11,3,8,3,0,0,11,6,1,0,0,0,0,1,0,0,2,3,0,1,0,0,0,0,0,0.06,0,5,1,1,0,12,11,5,5,5,0,0,0,0,0,0,0,0,0,0,0
UCONN Huskies - Maine Blackbears 3:1,United States. NCAA D1 Non-conference matches (W),2025-09-14,0,33,20,8,0,0,0,0,0,10,6,2,0,0,0,0,0,7,2,1,0,3,5,0,1,1,0,0,2,2,2,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,1,0,6,2,1,3,3,0,0,0,0,0,0,0,0,0,0,0
Rhode Island Rhody - UCONN Huskies 0:2,United States. NCAA D1 Non-conference matches (W),2025-09-12,AMF,26,17,9,1,0,1,1,0.72,10,5,1,0,0,0,0,0,6,3,2,1,1,4,1,4,3,0,0,1,1,0,0,0,0,0,0,0,0,1,3,1,1,0,0,0,0,0,0.2,0,3,2,0,0,6,5,3,1,1,0,0,0,0,0,0,0,0,0,0,0
Yale Bulldogs - UCONN Huskies 0:1,United States. NCAA D1 Non-conference matches (W),2025-09-05,LDMF,17,10,4,0,0,0,0,0,6,2,1,0,0,0,0,0,2,2,0,0,1,4,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,3,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Rutgers Scarlet Knights - UCONN Huskies 0:0,United States. NCAA D1 Non-conference matches (W),2025-08-31,0,13,8,8,0,0,0,0,0,7,7,1,1,0,0,0,0,1,1,0,0,0,0,0,3,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Texas A&M Aggies - UCONN Huskies 2:1,United States. NCAA D1 Non-conference matches (W),2025-08-24,RDMF,41,23,13,0,0,0,0,0,9,7,5,3,0,0,0,0,10,6,1,1,1,6,3,2,1,0,0,5,3,1,0,0,0,1,1,0,0,0,3,2,0,0,0,2,0,0,0,0,2,1,0,0,4,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0
UCONN Huskies - Stony Brook Seawolves 1:0,United States. NCAA D1 Non-conference matches (W),2025-08-18,RCMF,19,11,7,0,0,0,0,0,8,6,0,0,1,1,0,0,2,1,0,0,1,3,0,2,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,2,1,3,3,0,0,0,0,0,0,0,0,0,0,0
